geo,ginfo,gtype,glat,glon,gbox0,gbox1,gbox2,gbox3
布达佩斯,布达佩斯-Budapest-Közép-Magyarország-匈牙利,city,47.4983815,19.0404707,47.3496899,47.6131468,18.9251057,19.3349258
厄斯特松德,厄斯特松德-Strandgatan-Hornsberg-Östersund-耶姆特兰省-Norrland-83130-瑞典,attraction,63.1780164,14.6311712,63.1779664,63.1780664,14.6311212,14.6312212
瑞典,瑞典,administrative,59.67497120000001,14.5208584,55.1331192,69.0599699,10.5930952,24.1776819
耶姆特兰省,耶姆特兰省-Norrland-瑞典,administrative,63.34470145,14.1251368654203,61.5637652,65.1189152,11.9745809,16.998704800000002
福洛色岛,弗洛拉-奥克尼低于县-奥克尼区-敖德萨州-乌克兰,administrative,47.5893548,29.4739738495337,47.5762652,47.6017576,29.4672257,29.4891071
巴登-巴登,巴登-巴登-Baden-Baden-Regierungsbezirk Karlsruhe-巴登-符腾堡-76530-德国,town,48.7580777,8.2415239,48.7180777,48.7980777,8.2015239,8.2815239
博洛尼亚,博洛尼亚-BO-EMR-意大利,city,44.4936714,11.343034699999999,44.421033,44.556094,11.229620599999999,11.4336295
Transnistria,德涅斯特河沿岸-摩尔多瓦,administrative,47.192292,29.397413,46.546736100000004,48.18244910000001,28.492585499999997,29.9798185
彼得宫城,彼得宫城-Петродворцовый район-Санкт-Петербург-Северо-Западный федеральный округ-190000-俄罗斯,administrative,59.881847,29.912041,59.8288272,59.90213780000001,29.786847499999997,30.0090098
波恩,波恩-Bonn-Regierungsbezirk Köln-北莱茵-威斯特法伦-53111-德国,city,50.735851000000004,7.10066,50.575851,50.895851,6.94066,7.2606600000000014
阿姆斯特丹,阿姆斯特丹-Noord-Holland-Nederland-荷兰,city,52.3727598,4.8936041,52.2781742,52.43106379999999,4.7287563,5.079162200000002
曼托瓦,曼托瓦-LOM-46100-意大利,city,45.15666829999999,10.7917191,45.101957399999996,45.1868312,10.7229025,10.9042759
莱尼亚诺,库柏蒂诺-圣克莱拉县-加利福尼亚州-美国,city,37.3228934,-122.0322895,37.2784934,37.340317799999994,-122.0910659,-121.99583
图卢兹,图卢兹-上加龙省-Occitanie-法国-法国,city,43.6044622,1.4442469,43.532654,43.668708,1.3503956,1.5153795
乌得勒支,乌得勒支-Utrecht-Nederland-荷兰,city,52.094975299999994,5.109708,52.026282,52.1420506,4.970096,5.1951550000000015
荷兰,荷兰,administrative,52.500169799999995,5.7480820999999995,11.777000000000001,53.744389,-70.2695876,7.2274985
北美洲,北美洲,continent,51.0000002,-109.00000020000002,50.9999502,51.000050200000004,-109.0000502,-108.99995020000001
英国,英国,administrative,54.70235450000001,-3.2765752999999997,49.674,61.06100000000001,-14.015517000000001,2.0919117
华沙,华沙-Warszawa-马佐夫舍省-波兰,city,52.2319237,21.006726500000006,52.0978507,52.3681531,20.851688199999998,21.2711512
苏联-莫斯科,莫斯科-Центральный административный округ-Москва-ЦФО-俄罗斯,city,55.7504461,37.6174943,55.4913076,55.95740970000001,37.290502000000004,37.9674277
热那亚,热那亚-LIG-意大利,city,44.40726,8.9338624,44.378470899999996,44.5198419,8.6657444,9.095580499999999
尼斯,尼斯-滨海阿尔卑斯省-Provence-Alpes-Côte d'Azur-法国-法国,city,43.700935799999996,7.2683912,43.6454189,43.7607635,7.1819535000000005,7.323912
米兰,米兰-LOM-意大利,city,45.4667971,9.1904984,45.3867381,45.535848200000004,9.0408867,9.2781103
里姆斯,利穆-Limoux-Aude-Occitanie-法国-11300-法国,administrative,43.0538068,2.2176533,43.0113978,43.0816037,2.1803301,2.3094343999999998
墨尔本,墨尔本-维多利亚州-澳大利亚,administrative,-37.814217600000006,144.9631608,-37.85067,-37.77545,144.89709,144.9913426
挪威,挪威-Ytterbyvegen-Namsos-Trøndelag-7810-挪威,administrative,64.5731537,11.528036439548199,57.759005200000004,71.3848787,4.0875274,31.7614911
卡罗维发利,卡罗维发利-okres Karlovy Vary-Karlovarský kraj-Severozápad-捷克,city,50.2304694,12.8710769,50.16693770000001,50.266775,12.784855,12.943976300000001
摩纳哥,摩纳哥,city,43.7311424,7.4197576000000005,43.7247599,43.7519311,7.409027900000001,7.4398704
巴塞罗那,巴塞罗那-BCN-加泰罗尼亚-西班牙,city,41.3828939,2.1774322,41.31703529999999,41.4679135,2.0524977,2.2283555
波士顿,波士顿-Suffolk County-马萨诸塞州-美国,city,42.3602534,-71.0582912,42.2279111,42.39697750000001,-71.19126,-70.8044881
芝加哥,芝加哥-Cook County-伊利诺伊州-美国,city,41.87556160000001,-87.6244212,41.644531,42.023039600000004,-87.940101,-87.52398409999998
西班牙,西班牙,administrative,39.3262345,-4.838064900000001,27.43354260000001,43.9933088,-18.3936845,4.5918885000000005
格拉斯哥,格拉斯哥-Glasgow City-苏格兰-G2 1DY-英国,city,55.86113889999999,-4.2501672,55.7011389,56.0211389,-4.4101672,-4.0901672
亚琛,La Chen-Séranon-Grasse-滨海阿尔卑斯省-Provence-Alpes-Côte d'Azur-法国-06750-法国,locality,43.747929,6.657014599999999,43.737929,43.757929,6.647014599999999,6.667014599999999
科隆,科隆-Regierungsbezirk Köln-北莱茵-威斯特法伦-德国,city,50.938361,6.959974000000001,50.8304494,51.0849743,6.7725303,7.162028
帕多瓦,帕多瓦-PD-VEN-意大利,city,45.4077172,11.8734455,45.3395667,45.4573727,11.8054118,11.976435
日内瓦,日内瓦-瑞士,city,46.2017559,6.1466014000000015,46.1777724,46.231885,6.1102411,6.1758527
都柏林,都柏林-County Dublin-Leinster-爱尔兰,city,53.3497645,-6.2602732,53.29873420000001,53.410541599999995,-6.3870259,-6.1148829000000005
马格德堡,马格德堡-Magdeburg-Sachsen-Anhalt-39104-德国,city,52.1315889,11.6399609,51.97158889999999,52.291588899999994,11.4799609,11.7999609
俄勒冈州-波特兰,波特兰-Multnomah County-俄勒冈州-美国,city,45.5202471,-122.6741949,45.432536,45.6528812,-122.8367489,-122.4720252
波特兰,波特兰-Multnomah County-俄勒冈州-美国,city,45.5202471,-122.6741949,45.432536,45.6528812,-122.8367489,-122.4720252
里加,里加-Vidzeme-拉脱维亚,city,56.94939770000001,24.1051846,56.85734620000001,57.085981499999995,23.932370499999998,24.3248436
Salzburg,Salzburg-环岛北路一段350巷10弄-盘山村-金宁乡-金门县-福建省-89250-金门地区限制水域,yes,24.450128699999997,118.327067802557,24.449863399999998,24.450394,118.3267697,118.3273659
格拉茨,GE-Glienicker Straße-Wannsee-Steglitz-Zehlendorf-柏林-14109-德国,yes,52.4108047,13.1300189850076,52.4106209,52.4109169,13.129927599999998,13.130417999999999
威斯巴登,威斯巴登-Wiesbaden-Regierungsbezirk Darmstadt-黑森州-65183-德国,city,50.082038399999995,8.2416556,49.9220384,50.2420384,8.0816556,8.4016556
齐陶,齐陶-Görlitz-萨克森自由州-德国,administrative,50.89591420000001,14.806441699999999,50.8199956,50.9995787,14.7550552,14.9069448
汉诺威,汉诺威-Region Hannover-下萨克森-德国,city,52.374477899999995,9.738553199999998,52.3051373,52.45433489999999,9.60443,9.9184259
佩萨罗,佩萨罗-PU-MAR-意大利,city,43.9098114,12.9131228,43.8226058,43.9654685,12.7717276,12.9628349
里尔,利尔-Mechelen-Antwerpen-弗拉芒大区-2500-比利时,administrative,51.131069000000004,4.569651599999999,51.0726727,51.16578079999999,4.5058463,4.6430565999999995
维尔茨堡,Makartvilla-Gußhausstraße-Freihausviertel-KG Wieden-Wieden-Wien-1040-奥地利,yes,48.1961104,16.3705940999039,48.19600629999999,48.1962143,16.3704593,16.3707293
罗劳,L'AO-Pont Charles-Bessières-Chailly-洛桑-District de Lausanne-Vaud-1003-瑞士,restaurant,46.52150379999999,6.6362357,46.521453799999996,46.52155379999999,6.6361857,6.6362857
纽伦堡,纽伦堡-中弗兰肯行政区-巴伐利亚-德国,city,49.453872,11.077297999999999,49.3314339,49.5407534,10.9887326,11.2825957
里米尼,里米尼-RN-EMR-意大利,city,44.0593886,12.5684371,43.9692955,44.115663,12.4384335,12.6328853
拉斯尼茨,波斯尼亚和黑塞哥维那大使馆-26-Kolarjeva ulica-Župančičeva Jama-Bežigrad-卢布尔雅那-Upravna Enota Ljubljana-Osrednjeslovenska-1000-斯洛文尼亚,embassy,46.06999879999999,14.50303185,46.0699378,46.0700598,14.5029119,14.503151800000001
萨克森,Сэн-Эльбанское городское поселение-Амурский район-哈巴罗夫斯克边疆区-远东联邦管区-682612-俄罗斯,river,50.01930479999999,136.39779209999998,50.008909,50.02485120000001,136.3895076,136.4067717
茨维考,茨维考-萨克森自由州-德国,administrative,50.73536425,12.4638662392976,50.5465654,50.9242066,12.226366800000001,12.805967599999999
海牙,海牙-Zuid-Holland-Nederland-荷兰,city,52.0799838,4.3113461,52.0148484,52.1350362,4.1849984,4.422489700000002
德勒,德国,administrative,51.0834196,10.4234469,47.2701114,55.099160999999995,5.8663153,15.041931900000002
第戎,迪恩-Kreis Düren-Regierungsbezirk Köln-北莱茵-威斯特法伦-德国,administrative,50.803168400000004,6.4820806,50.740979700000004,50.8576045,6.3856331,6.5384131
于克勒,约克-Benson County-北达科他州-美国,city,48.312777000000004,-99.573468,48.309782,48.316319,-99.579327,-99.567826
美因茨,美因茨-Mainz-莱茵兰-普法尔茨-55116-德国,city,50.0012314,8.276251299999998,49.8412314,50.1612314,8.1162513,8.4362513
卢卡,卢卡-LU-TOS-意大利,city,43.8428381,10.502875999999999,43.7582935,43.9592326,10.3627442,10.5737641
拜罗伊特,拜罗伊特-Bayreuth-上弗兰肯行政区-巴伐利亚-95444-德国,town,49.942720200000004,11.5763079,49.90272020000001,49.9827202,11.5363079,11.616307899999999
悉尼,悉尼-新南威尔士州-澳大利亚,city,-33.8548157,151.2164539,-34.173241600000004,-33.3641481,150.260825,151.3427428
澳大利亚,澳大利亚,administrative,-24.7761086,134.755,-55.322817500000006,-9.0880125,72.24619320000002,168.2261259
Ansfelden,Ansfelden-Linz-Land-Oberösterreich-4053-奥地利,administrative,48.2094498,14.2901754,48.1674859,48.2350806,14.228073,14.329282
Versailles,Versailles-Yvelines-法兰西岛大区-法国-78000-法国,administrative,48.8035403,2.1266886,48.7792385,48.8286153,2.0699384,2.1683504
Aix-en-Provence,普罗旺斯地区艾克斯-Aix-en-Provence-Bouches-du-Rhône-Provence-Alpes-Côte d'Azur-法国-法国,city,43.5298424,5.4474738,43.4461058,43.6259224,5.2694745,5.5063013
Tikhvin,Тихвин-Тихвинский район-列宁格勒州-Северо-Западный федеральный округ-俄罗斯,town,59.644323,33.5418624,59.5997769,59.6548765,33.45017360000001,33.5963445
Banat,Banat-Timișoara-Timiș-307341-罗马尼亚,region,45.7346665,21.4955376,45.7146665,45.7546665,21.47553760000001,21.5155376
Pamplona,Pamplona/Iruña-Navarra - Nafarroa-西班牙,city,42.81845379999999,-1.6442556000000002,42.7888466,42.8427095,-1.6953841,-1.6044942
Biarritz,Biarritz-Bayonne-比利牛斯-大西洋省-Nouvelle-Aquitaine-法国-64200-法国,administrative,43.4832523,-1.5592776000000002,43.4475698,43.4945381,-1.5773906,-1.5343915
Split,Split-Grad Split-Splitsko-dalmatinska županija-21000-克罗地亚,city,43.5115555,16.4396801,43.3515555,43.6715555,16.2796801,16.5996801
Perchtoldsdorf,Gemeinde Perchtoldsdorf-Bezirk Mödling-Niederösterreich-2380-奥地利,administrative,48.11693629999999,16.2559683801349,48.1001059,48.1338515,16.2181849,16.2990447
Valencia,València-Comarca de València-巴伦西亚-Comunitat Valenciana-西班牙,city,39.4699014,-0.3759513,39.2784496,39.5666202,-0.4325512,-0.2725205
Scandinavia,Scandinavia-Waupaca County-威斯康星州-美国,administrative,44.4616446,-89.14927850000002,44.45353789999999,44.4678446,-89.15624179999998,-89.13611429999996
上海,上海市-黄浦区-上海市-200010-中国,city,31.2252985,121.4890497,31.0652985,31.3852985,121.3290497,121.6490497
Bradford,Bradford-Yorkshire and the Humber-英格兰-英国,city,53.7944229,-1.7519186000000002,53.7243414,53.963151,-2.0612483,-1.6403301
